"id","orderId","commonName","scientificName","pollution","description"
1,1,"Long-toed Water Beetles","Dryopidae","NA","This family is relatively small, with only 5 North American genera, including 13 species. Unlike most water beetles, the <u>larvae</u> of this family are terrestrial <u>burrowers</u> and only the adults are aquatic, usually found in riffles, although some less-common species can be <u>lentic</u> as well. They are <u>shredding herbivores</u> and <u>scrapers</u>. The long claws of the adults make them good clingers and climbers on woody debris and other substrates. Similar to the Elmidae, these adult beetles use a plastron (thin layer of air held against the spiracles) to obtain oxygen from the water and usually don’t need to surface for air. These adult beetles can have a fairly long life-span, with the life cycle taking up to two years in some cases."
2,1,"Predacious Diving Beetles","Dytiscidae","NA","This is the largest North American family of aquatic beetles, including over 400 species in about 35 genera. Both adults and <u>larvae</u> can be found in almost any aquatic habitat, even in brackish water; however, they are most often found in <u>lentic</u> freshwater systems. The <u>larvae</u> tend to be climbers on rooted plants and swimmers; adults are swimmers and divers. Both <u>larvae</u> and adults are <u>engulfing predators</u> of small invertebrates and fish, and are sometimes cannibalistic. Some <u>larvae</u> have a channel along the inner margin of each mandible to help them ingest fluids from their prey. Their bite is quite painful. Despite living in the water, adults and <u>larvae</u> of most species must regularly resurface for air."
3,1,"Riffle Beetles","Elmidae","NA","This is a large family, including 24 genera and close to 100 species. They are known as riffle beetles, due to their common occurrence in habitats with fast-flowing water and high oxygen levels. Both <u>larvae</u> and adults are slow-moving <u>clingers</u> that feed by <u>scraping</u> or <u>collecting and gathering</u> <u>periphyton</u> and detritus from surfaces of rocks and other substrates. The <u>larvae</u> get their oxygen directly from gills that can be retracted into the end of the abdomen. Adults have an effective plastron and usually do not need to surface for air. Elmid <u>larvae</u> are unusual in that they have up to 8 instars, whereas most beetle <u>larvae</u> molt only 3 times."
4,1,"Whirligig Beetles","Gyrinidae","NA","Adult members of the family Gyrinidae are unique in that their <u>compound eyes</u> are divided into separate <u>dorsal</u> and <u>ventral</u> portions, giving them a ""four-eyed"" appearance. This allows them to see both above and below the water at the same time. Their nickname, “whirligig beetles” was given to the adult beetles due to their behavior of zipping around in swirling motions along the surface of the water, although they are also good <u>divers</u>. Both the <u>larvae</u> and adults of this family are aquatic, typically found in quiet water of <u>lentic</u> or <u>lotic</u> habitats. The pupae are terrestrial. Both adults and <u>larvae</u> are <u>engulfing predators</u> of small invertebrates, but the adults may also be surface film scavengers. <u>Larvae</u> live and feed on the bottom or climb on rooted plants."
5,1,"Crawling Water Beetles","Haliplidae","NA","This family includes over 70 North American species. Both the <u>larvae</u> and adults of this family are aquatic. They can be found in <u>lentic</u>-<u>littoral</u> or <u>lotic-depositional</u> habitats. They are good <u>climbers</u> among the rooted plants found in their habitats. Adults can be strong swimmers as well. Both life stages have similar feeding habits; they tend to be <u>shredding</u> or <u>piercing herbivores</u>, but some are <u>engulfing predators</u>. The <u>larvae</u> sometimes overwinter in moist soil before molting into pupae and then adults. The adults must frequently resurface for air; however, the <u>larvae</u> get all of their oxygen from the water."
6,1,"Water Scavenger Beetles","Hydrophilidae","NA","Hydrophilidae is the second largest family of North American aquatic beetles, including roughly 200 species. The <u>larvae</u> and adults are aquatic or semiaquatic; the pupae are terrestrial. They prefer <u>lentic</u> waters such as ponds and shallow lakes, or sometimes in pools at edges of streams. Unlike most beetles, the adults of this family tend to swim by alternating strokes with their <u>hind legs</u>, rather than moving them in unison. Also atypical, they have a habit of surfacing for air head-first, breaking the water surface tension with a clubbed antenna, the <u>apical</u> segments of which are covered with dense water-repelling (<u>hydrophobic</u>) hairs. The adults have a well-developed plastron to hold air underwater; in well-oxygenated water, it serves as a gill. <u>Larvae</u> frequently surface to take in air from the end of the abdomen. <u>Larvae</u> are usually predators of other invertebrates, and can even break snail shells with their strong jaws. However, only a small number of adults are predators, most are omnivores or detritivores. "
7,2,"Predacious Diving Beetle Larvae","Dytiscidae","NA","This is the largest North American family of aquatic beetles, including over 400 species in about 35 genera. Both adults and <u>larvae</u> can be found in almost any aquatic habitat, even in <u>brackish</u> water; however, they are most often found in <u>lentic</u> freshwater systems. The <u>larvae</u> tend to be <u>climbers</u> on rooted plants and <u>swimmers</u>; adults are <u>swimmers</u> and <u>divers</u>. Both <u>larvae</u> and adults are <u>engulfing predators</u> of small invertebrates and fish, and are sometimes cannibalistic. Some <u>larvae</u> have a channel along the inner margin of each mandible to help them ingest fluids from their prey. Their bite is quite painful. Despite living in the water, adults and <u>larvae</u> of most species must regularly resurface for air."
8,2,"Riffle Beetle Larvae","Elmidae","NA","This is a large family, including 24 genera and close to 100 species. They are known as riffle beetles, due to their common occurrence in habitats with fast-flowing water and high oxygen levels. Both <u>larvae</u> and adults are slow-moving <u>clingers</u> that feed by <u>scraping</u> or <u>collecting and gathering</u> <u>periphyton</u> and detritus from surfaces of rocks and other substrates. The <u>larvae</u> get their oxygen directly from gills that can be retracted into the end of the abdomen. Adults have an effective plastron and usually do not need to surface for air. Elmid <u>larvae</u> are unusual in that they have up to 8 instars, whereas most beetle <u>larvae</u> molt only 3 times."
9,2,"Whirligig Beetle Larvae","Gyrinidae","NA","Adult members of the family Gyrinidae are unique in that their <u>compound eyes</u> are divided into separate <u>dorsal</u> and <u>ventral</u> portions, giving them a ""four-eyed"" appearance. This allows them to see both above and below the water at the same time. Their nickname, “whirligig beetles” was given to the adult beetles due to their behavior of zipping around in swirling motions along the surface of the water, although they are also good <u>divers</u>. Both the <u>larvae</u> and adults of this family are aquatic, typically found in quiet water of <u>lentic</u> or <u>lotic</u> habitats. The pupae are terrestrial. Both adults and <u>larvae</u> are <u>engulfing predators</u> of small invertebrates, but the adults may also be surface film scavengers. <u>Larvae</u> live and feed on the bottom or climb on rooted plants."
10,2,"Crawling Water Beetle Larvae","Haliplidae","NA","This family includes over 70 North American species. Both the <u>larvae</u> and adults of this family are aquatic. They can be found in <u>lentic</u>-<u>littoral</u> or <u>lotic-depositional</u> habitats. They are good <u>climbers</u> among the rooted plants found in their habitats. Adults can be strong swimmers as well. Both life stages have similar feeding habits; they tend to be <u>shredding</u> or <u>piercing herbivores</u>, but some are <u>engulfing predators</u>. The <u>larvae</u> sometimes overwinter in moist soil before molting into pupae and then adults. The adults must frequently resurface for air; however, the <u>larvae</u> get all of their oxygen from the water."
11,2,"Water Scavenger Beetle Larvae","Hydrophilidae","NA","Hydrophilidae is the second largest family of North American aquatic beetles, including more than 250 species. The <u>larvae</u> and adults are aquatic or semiaquatic; the pupae are terrestrial. They prefer <u>lentic</u> waters such as ponds and shallow lakes, or sometimes pools at edges of streams. Unlike most beetles, the adults of this family tend to swim by alternating strokes with their <u>hind legs</u>, rather than moving them in unison. Also atypical, they have a habit of surfacing for air head first, breaking the water surface tension and accessing air with their specially formed antennae. The adults have a well-developed plastron to hold air underwater; in well-oxygenated water this thin layer of air serves as a gill. <u>Larvae</u> frequently surface to take in air from the end of the abdomen. <u>Larvae</u> are usually predators of other invertebrates, and can even break snail shells with their strong jaws. However, only a small number of adults are predators, most are omnivores or detritivores. "
12,2,"Water Pennies","Psephenidae","NA","In North America North of Mexico this family includes 6 genera and about 16 species. Adults and pupae of this family are terrestrial, except for females enter the water to lay eggs. The <u>larvae</u>, however are fully aquatic. They are very distinctive, flat, shield-shaped larvae, almost trilobite-like in appearance, with the legs only visible from the <u>ventral</u> side. They are almost always found stuck (suction cup-like) to the sides and tops of rocks, where they feed by <u>scraping</u> <u>periphyton</u> and other food off of the substrate."
13,2,"Toe-Winged Beetle Larvae","Ptilodactylidae","NA","Thoracic legs are present with each having four segments and a claw; the labrum is distinct; the abdomen has 9 segments and distinct tufts of gills in the anal region but without a lid-like operculum."
14,3,"Watersnipe Flies, Aquatic Flies","Athericidae","NA","The head is visible but reduced and partly retracted in the thorax; the mouth hooks (mandibles) move up and down parallel to one another; the body is cylindrical; the abdomen has two pairs of long pointed tubercles laterally and dorsolaterally, eight pairs of ventral prolegs with tiny apical hooks, and a pair of long hairy tubercles posteriorly."
15,3,"Net-winged Midges","Blephariceridae","NA","The head is not distinctly separated from the thorax; the body is divided into six major divisions with the 1st division comprising the fused head, thorax, and 1st abdominal segment; each of the six body divisions has a median suction disc ventrally."
16,3,"Biting Midges, No-See-Ums, Punkies, Sand Flies","Ceratopogonidae","NA","This fly family includes approximately 34 North American genera, encompassing over 100 species; though not all are aquatic, most genera have at least a few aquatic species. Aquatic/semiaquatic larvae can be found <u>burrowing</u> in damp sand along beaches, <u>swimming</u> and <u>sprawling</u> among plants in both flowing and still water habitats, sometimes even in water-filled tree holes or pitcher plants. Feeding habits vary greatly depending on the species and maturity of the <u>larvae</u>, they are often predators of aquatic insect eggs, others are <u>collector-gatherers</u> or grazers on <u>periphyton</u> and detritus. Aquatic pupae do not make cocoons; they stay near the water surface and use snorkel-like structures that protrude from the thorax to breathe air. Many adult females bite and feed on blood; they need the protein to produce eggs. The bites of most species cause an annoying itch; some terrestrial species are considered pests and can transmit human filarial worms and diseases of other birds and mammals."
17,3,"Non-Biting Midges, Midges","Chironomidae","NA","This group is estimated to include up to 2,000 North American species. It is the most widespread and often most abundant aquatic insect family. The <u>larvae</u> and pupae can be found in almost any aquatic habitat. They live on the bottom, sometimes within slender tubes of silk and detritus. The <u>larvae</u> must be slide-mounted in order to be identified to genus. Different species vary greatly in pollution tolerance. Shed pupal skins can be collected from surface water and identified, sometimes more easily than for <u>larvae</u> or adults. <u>Larval</u> feeding strategies vary greatly, ranging from <u>collector-gatherers</u>, to predators. <u>Larvae</u> are often abundant and an important link of the food web, as most aquatic predatory species use them as a primary food resource at some point during their life cycle. The <u>larvae</u> pupate on the bottom, and then the pupae swim to the surface to emerge as adults, which usually survive for only a few days to mate and lay eggs."
18,3,"Mosquitoes","Culicidae","NA","In larval mosquitoes, the head is distinct and fully exposed; there are prominent mouth brushes on each side of the head; the thoracic segments are fused, indistinguishable from each other, and wider than the head or abdomen."
19,3,"Meniscus Midges","Dixidae","NA","The head is distinct and fully exposed; the 1st and 2nd abdominal segments each have a pair of fleshy prolegs with tiny apical hooks; the end of the abdomen has two flattened lobes with hairy margins above a small, dorsally sclerotized anal segment with fleshy papillae."
20,3,"Dance Flies","Empididae","NA","The tip of the head is visible but is mostly reduced to a pair of slender rods retracted into the thorax; the mouth hooks (mandibles) move up and down parallel to one another; the body is cylindrical; there are usually four hairy lobes and no spiracles at the end of the abdomen and each of the abdominal segments has a pair of fleshy ventral prolegs with tiny apical hooks; if spiracles are present and only a single lobe is at the end of the body, then the abdominal segments lack prolegs but instead have transverse ventral creeping welts."
21,3,"Shore Flies","Ephydridae","NA",""
22,3,"Limoniid Crane Flies","Limoniidae","NA","Limoniidae, previously a subfamily of Tipulidae (Limoniinae), are now considered their own family. Both Limoniidae and Tipulidae are part of the larger group of crane flies, Tipulomorpha. Often these are relatively large, grey or white, soft-bodied, legless <u>larvae</u>. The head is inconspicuous, mostly retracted into the thorax and almost completely hidden from view. They are often sold in bait shops, or used as models for tied flies, especially for bass fishing. Usually, <u>larvae</u> are found <u>burrowing</u> in soft sediment of streams, often near algae or woody debris; but some <u>larvae</u> are terrestrial. They vary in feeding strategy, some are predators while others are <u>shredding detritivores</u> and <u>herbivores</u>. Most species have only 1 generation per year. Pupa usually are found in marginal habitats. Adults resemble giant mosquitoes, with long, delicate legs; however, they do not bite."
23,3,"House Flies","Muscidae","NA","The head is not evident, but is reduced to some sclerotized rods inside the thorax; there are no segmented legs; the posterior end of the abdomen is blunt and smooth, without lobes, spines, or ridges."
24,3,"Hairy-eyed Crane Flies","Pediciidae","NA","The head is not evident, but is retracted inside the thorax; there are no segmented legs; abdominal segments have paired fleshy prolegs on five segments or roughened creeping welts on 4 segments; the posterior end of the abdomen has a pair of long slender lobes and sometimes with retractile anal gills below them."
25,3,"Moth Flies","Psychodidae","NA","The head is distinct and conspicuous; there are no segmented legs; body segments are subdivided into 2 or 3 subdivisions, most of which have hard, dark, transverse plates; the end of the abdomen usually has a relatively short, conical respiratory tube."
26,3,"Phantom Crane Flies","Ptychopteridae","NA","The head is distinct and conspicuous; there are no segmented legs; the body has many transverse ridges or rows of small setae; the first 3 abdominal segments each has a pair of small fleshy prolegs, each with a single, slender, curved claw."
27,3,"Black Flies","Simuliidae","NA","There are over 255 North American species in this family. The genera <em>Simulium </em>and <em>Prosimulium </em>include most of these. <u>Larvae</u> spin a pad of silk and glue it it to the substrate, then use hooks on the posterior end to grasp the silk pad and suspend themselves in the current, where they feed. If a <u>larva</u> is disturbed by a predator it uses a strand of silk from their mouth that is tethered to the substrate to climb back to their rock once the predator has left. They use comb-like fanning structures on their head to filter food from the water. Generally, this group is considered tolerant to pollution, however, they can be found only in clean water as well, depending on the species. Adult black flies are terrestrial, and the females are biting pests. The bites can cause allergic reactions in some people, and in cases where the numbers are high can cause blood loss and become dangerous for some mammal species. In the tropics, flies in this family can transmit diseases such as river blindness. Fly fishermen often refer to members of this group as smuts, and sometimes use <u>larvae</u> or pupae in their fly patterns."
28,3,"Soldier Flies","Stratiomyidae","NA","Most of the head is conspicuous but nearly incapable of movement; it has distinctive lateral eye prominences; there are no segmented legs; the body is somewhat depressed and its integument is tough and leathery from calcium deposits."
29,3,"Hover Flies","Syrphidae","NA","The head is not evident, but is reduced to some sclerotized rods inside the thorax; there are no segmented legs; the pair of posterior spiracles are fused with each other and usually on the apex of a telescopic respiratory tube which can be short or very long."
30,3,"Large Crane Flies","Tipulidae","NA","Until recently, Tipulidae included all species of ""crane flies."" As now more strictly defined, this widespread family includes at least 53 species in North America. <u>Larvae</u> of some species are terrestrial, but aquatic <u>larvae</u> inhabit quiet areas of streams and shores of lakes, <u>burrowing</u> in the soil, often among roots, <u>shredding</u> living and dead plant material."
31,4,"Comb-mouthed Minnow Mayflies","Ameletidae","NA","<em>Ameletus </em>was previously included among genera of the Siphlonuridae, but is now the only genus in the family Ameletidae. There are 34 known species in North America, most from west of the Rocky Mountains. <u>Larvae</u> are <u>fusiform</u> or streamlined in body shape, making them strong swimmers and <u>clingers</u>. They are <u>collector-gatherers</u> or <u>scraper-grazers</u>, feeding on fine detritus and diatoms. They tend to be found in cold, fast-flowing mountain streams, especially along edges, undercut banks, and in root masses. The family can often be confused with Isonychiidae or Baetidae, but can be distinguished by its <u>maxillae</u>, each with a row of golden pectinate spines."
32,4,"Small Minnow Mayflies","Baetidae","NA","This family includes roughly 152 North American species. The <u>larvae</u> of this family are usually found in <u>lotic-erosional</u> or <u>lotic-depositional</u> habitats. They tend to be <u>clingers</u> and strong <u>swimmers</u> due to their streamlined, minnow-like body shape. They feed by <u>collecting and gathering</u> food, or by <u>scraping</u> algae and <u>periphyton</u> from rocks and detritus. Adults tend to swarm nearby in open areas after emergence. <u>Duns</u> and <u>spinners</u> of this group are frequently used as models for tied flies in the fly-fishing community. <u>Larvae</u> in this group can be tricky to identify and can be easily mistaken for other families such as the Siphlonuridae and Isonychiidae; however, but with careful attention to detail and patience, they can be separated."
33,4,"Armored Mayflies","Baetiscidae","NA","Armored mayflies have a hard, shield-like plate (<u>notum</u>) covering the thorax and part of the abdomen which offers protection from predators. Typically, the <u>notum</u> covers the <u>gills</u> as far back as the sixth abdominal segment and has two prominent points. <u>Caudal filaments</u> are short and fringed with hairs. Members of this burrowing family are considered <u>collector-gatherers</u> and inhabit pools or runs in sandy streams. Baetiscids swim by tucking their legs under their body and undulating their abdomen and tails."
34,4,"Small Square-gilled Mayflies","Caenidae","NA","This family includes over 30 North American species in 4 genera. They prefer slow-moving or stagnant water where there is an abundance of silt and loose sediment and are often found sprawled on/in the silt or climbing among the plants. They tend to be slow-moving and often partially cover themselves in sediment, making them difficult to spot. They feed by <u>filtering</u> or <u>collecting and gathering</u> tiny bits of food or by <u>scraping</u> algae and <u>biofilm</u> from rocks and other substrates in their habitat. Several genera in this group can be useful to fly-fishermen, but due to the short life-span, it can be difficult to time your fishing trip just right or you will miss the ""hatch"" (<u>eclosion</u> or emergence as adults).  "
35,4,"Spiny Crawler Mayflies","Ephemerellidae","NA","This common and widespread group includes roughly 80 North American species in 9 genera. <u>Larvae</u> can be readily identified, as this is the only mayfly group with gills absent on abdominal segment 2. They tend to be found in <u>lotic-erosional</u> or <u>depositional</u> habitats, often among the rooted aquatic plants, moss, root masses, or woody debris. They usually are poor <u>swimmers</u>, swimming with a floppy motion, and instead <u>sprawl</u> or <u>cling</u> to the plants or other substrates in their habitat. The family has a variety of feeding strategies, differing among species, including <u>collector-gatherers</u>, <u>scrapers</u>, some <u>shredders</u> of <u>detritus</u> or <u>algae</u>, and even one predator. When a <u>larva</u> is disturbed it sometimes raises its tail over its head like a scorpion, possibly as an adaptation to fend off predators; however, they cannot sting. After emergence, adults sometimes swarm atypically high, even above tree tops. This group is one of the most important for the fly-fishing community, with at least 30 different species being used as models for tied flies."
36,4,"Common Burrowing Mayflies","Ephemeridae","NA","<u>Larvae</u> of the mayfly family Ephemeridae have large, distinct mandibular tusks projecting forward from the head, used to help <u>burrow</u> in soft silty sand or marl along the edges of still-water habitats or along the quiet parts of streams. They react negatively to light and immediately <u>burrow</u> back into the sediment if removed. <u>Larvae</u> also have feathery gills along the abdomen, giving them a rather “fluffy” appearance from the <u>dorsal</u> side. They are able to undulate these gills in order to increase flow of water for oxygen intake, which is especially important in the burrows where there is little water flow. The adults of this group are popular for fly-fishing enthusiasts because they are relatively large, and the <u>duns</u> (flying subadults) emerge in large numbers. The <u>larvae</u> are also sometimes used as bait."
37,4,"Flat-headed or Cookie-headed Mayflies","Heptageniidae","NA","There are over 100 North American species in 11 genera in the mayfly family Heptageniidae. They are found in <u>lotic</u> or <u>lentic</u> erosional habitats, often among rocks. They are sometimes <u>collector-gatherers</u> of fine organic particles; however, they typically feed by <u>scraping</u> algae and <u>periphyton</u> from rocks and other substrates at the bottom of the stream. They have a flattened head and body, which allows them to <u>cling</u> to the tops of the rocks, even in fast flowing water, without being swept away, or to squeeze among rocks. This flat body shape makes them great at <u>clinging</u> to surfaces, but fairly poor, floppy <u>swimmers</u>. The emerging <u>duns</u> (sub-adults) are important in the fly-fishing community, with several genera in the family serving as models for tied flies."
38,4,"Brush-legged Mayflies","Isonychiidae","NA","<em>Isonychia </em>is the only genus in the family Isonychiidae. There are about 15 known North American species. They have a widespread distribution east of the Rocky Mountains, and tend to be found <u>swimming</u> in fast-flowing water. They have a <u>fusiform</u>, minnow-like body shape, making them strong <u>swimmers</u> and <u>clingers</u>. Long <u>setae</u> (hair) on the inner margins of the <u>femora</u> and <u>tibia</u> of <u>forelegs</u> are used for filter feeding, a trait almost unique to this group of mayflies (also occurring in the rare family Oligoneuriidae). They are important in the trout and fly fishing community as ""Slate Drakes"" due to their frequent but periodic hatches (emergence of <u>subimagos</u> or ""<u>duns</u>"") and return to the water surface as spent adults (<u>imagoes</u> or ""<u>spinners</u>"") in June–October."
39,4,"Little Stout Crawler Mayflies","Leptohyphidae","NA","<u>Larval</u> members of this family tend to be found in small streams and rivers in areas of slow flow; however, they can be found in <u>lentic</u>-<u>littoral</u> habitats as well. They are often found <u>sprawling</u> on many different substrates, such as sand, silt, or even gravel, as well as <u>clinging</u> to root masses, woody debris, or among various plants. They usually <u>collect and gather</u> small bits of organic particles for food, or some taxa also filter feed. The <u>larvae</u> in this family have gills well-adapted to their environment; the gills on abdominal segment 2 are <u>operculate</u>, covering the rest of the abdominal gills to prevent them from getting damaged by sediment. <u>Larvae</u> also fan their gills in order to increase the flow of water across their surface area, increasing the amount of oxygen they can absorb. Adults and <u>duns</u> (sub-adults) in the genus <em>Trycorythodes </em>(Dark Brown Spinner, Pale Olive Dun, and Reverse Jenny Spinner) are especially important to the fly-fishing community due to their extremely large emergences."
40,4,"Prong-gilled Mayflies","Leptophlebiidae","NA","There are about 70 North American species in this family. <u>Larvae</u> tend to be found in gravel-bottomed streams, with woody debris, or among roots along banks; however, some can be found in <u>lentic</u> situations. Mature <u>larvae</u> are 4–15 mm long. They tend to be <u>clingers</u> and moderately fast <u>swimmers</u>. Most feed by <u>collecting and gathering</u> food, however, some <u>scrape</u> <u>periphyton</u> from rocks or gather particles of detritus, others filter particles from the water. The gills are often forked, giving them the name “Pronggills”. We like to refer to their gills as <u>deciduous</u>, because they are extremely fragile and fall off the insect readily, like autumn leaves. They have relatively flat bodies, and thus can be easily mistaken for Heptageniidae, however, they can be distinguished because the mandibles protrude at the side of the face making them visible <u>dorsally</u>."
41,4,"Cleft-footed Minnow Mayflies","Metretopodidae","NA","Long, slender mayfly with normal plate-like gills on most abdominal segments; the claws are forked on the front legs."
42,4,"Pale Burrower Mayflies","Polymitarcyidae","NA","Long slender mayfly with its gills long, forked, marginally fringed, and curved over abdomen; pair of sharp tusks projecting beyond head and curved downward; the legs are generally expanded or with tubercles for digging and the hind tibiae are rounded apically."
43,4,"Hackle-gills","Potamanthidae","NA","Long slender mayfly with its gills long, forked, marginally fringed, and projecting laterad; pair of sharp tusks projecting beyond head; the legs are not unusually thick and flattened for digging."
44,4,"Primitive Minnow Mayflies","Siphlonuridae","NA","The labrum (upper lip) is not notched in the middle; the antennae are shorter than twice the width of the head; the maxillae on the underside of the head lack prominent rows of golden spines; the abdominal gills are rounded and similar to each other in structure; 3 long slender filaments at the end of the body are about equally long."
45,5,"Giant Water Bugs","Belostomatidae","NA","The Belostomatidae, or giant water bugs, include 19 species in 4 genera in North America. Other common names include toe-biters, electric-light bugs (because they often fly to lights at night), or alligator ticks/fleas (in Florida). Some species are among the largest insects. Both <u>larvae</u> and adults live usually among rooted plants in quieter water such as ponds and slowly flowing streams. Both <u>larvae</u> and adults are <u>piercing predators</u>, either stalking or ambushing their prey. Once captured, the prey are injected with salivary secretions to dissolve soft tissue and then the resulting liquid is sucked back through their sharp beaks. Younger <u>larvae</u> and small adults eat mainly other macroinvertebrates, but larger species eat larger crustaceans and small fish and amphibians. There are reports of the largest species consuming baby turtles and water snakes. They are known to feign death, lying still while secreting a fluid from the anus. Even small specimens should be handled carefully because they can inflict a very painful bite; fortunately, the effects soon wear off with no lasting consequences. Males of many species tend the clutch of eggs laid by the female either on the male's back or on vegetation while the male stands guard nearby. Giant water bugs are eaten for food and are considered a delicacy especially by people in eastern and southern Asia."
