relationshipTypeCode,diagCharId,taxaObjectId,diagCharType,name,description,hasAudio,hasImage
dc_to_family,1024,4,diag_char_family,Glossae Shorter Than Paraglossae,Glossae much shorter than the paraglossae. ,0,0
dc_to_family,1025,4,diag_char_family,Thoracic Gills,"Multi-branched, thread-like gills present laterally and ventrally on thorax, but not on abdomen.",0,0
dc_to_family,39,6,diag_char_family,Divergent Wing Pads ,"Wingpads are not parallel with body, angled away from the midline of the body.",0,0
dc_to_family,1028,6,diag_char_family,Gills Unlike Peltoperlidae," Unlike Peltoperlidae, gills, if present, are not conical, and thoracic sterna do not overlap. ",0,0
dc_to_family,1020,6,diag_char_family,Hind Legs Don't Reach,"When extended, hind legs do not reach end of the abdomen.",0,0
dc_to_family,1021,6,diag_char_family,Paraglossae And Glossae Subequal,"Paraglossae and glossae about same length, suitable for shredding.",0,0
dc_to_family,38,6,diag_char_family,Tarsal Segments Subequal,"The first and second segment of the tarsus on all legs are the same length. The tarsus is the, most distal leg region (last part of a leg before the claw), often divided into subsegments. When counting tarsal segments, start with the semgent closest to the body. ",0,0
dc_to_family,24,18,diag_char_family,All Nota Sclerotized,"Pro-, meso-, and metanota entirely covered by sclerites (i.e. the dorsal side of all 3 thoracic segments is hardened).",0,0
dc_to_family,27,18,diag_char_family,Retreat,"Larvae build stationary retreats of silk, detritus and rock fragments, often used for filter feeding. These usually fall apart when removed from the water, but you may see some rements when flping over rocks to search for larvae, it will look like a clup of loose slime (silk) and small rock pieces.",0,0
dc_to_family,26,18,diag_char_family,Setal Fan On Prolegs,Base of each anal proleg (fleshy nubs at end of body) with conspicuous tuft or fan of long hairs .,0,0
dc_to_family,25,18,diag_char_family,Ventral Branched Abdominal Gills,Abdomen with rows of branched gills ventrally.,0,0
dc_to_family,494,31,diag_char_family,Forelegs With Long Hair,Femora (thighs) and tibia (shins) of forelegs have long setae along the inner margins. ,0,0
dc_to_family,495,31,diag_char_family,Minnow-like,"Larvae with streamlined, minnow-like body shape.",0,0
dc_to_family,34,33,diag_char_family,Antenna Between Mandibles and Eyes,"As in all families of superfamily Limnephiloidea, the short, inconspicuous antennae are each located about midway between the base of the mandible and the eye. ",0,0
dc_to_family,514,109,diag_char_family,Lateral Filaments,"Abdominal segments 1–8 with paired, 2-segemented, lateral filaments (slender conical appendages on sides of abdomen)",0,0
dc_to_family,515,109,diag_char_family,Prolegs With Two Claws,"End of abdomen has a pair of anal prolegs (fleshy nubs at the end of the abdomen), each bearing a 2 claws. ",0,0
dc_to_family,1840,111,diag_char_family,Lateral Filaments on 1-7,Abdominal segments 1–7 each with pair of lateral filaments each divided into 4–5 segments.,0,0
dc_to_family,1841,111,diag_char_family,Long Tail,End of abdomen with single long filament.,0,0
dc_to_family,949,113,diag_char_family,Head Partially Hidden,Head usually partially contracted into thorax. ,0,0
dc_to_family,951,113,diag_char_family,Transverse Coxae,Forelegs (1st pair of legs) have the coxae (leg segment nearest the body) transverse (not round as in Elmidae).,0,0
dc_to_family,950,113,diag_char_family,Unique Antenna,"Each antenna 11-segmented, usually with enlarged basal segment and expanded 2nd segment covering remaining antennal segments.",0,0
dc_to_family,952,113,diag_char_family,Visible Trochantins,"Trochantins visible, unlike Elmidae. This is a small sclerite near where the leg connects with the body.",0,0
dc_to_family,990,115,diag_char_family,Coxal Plate Not Wedge-like,Broad wedge-like hind coxal plate absent. ,0,0
dc_to_family,988,115,diag_char_family,Extended Hind Coxae,"Hind coxae (basal most leg segment) each with median portion extending in posterior direction, dividing abdominal segment 1 into lateral sclerites, but not expanding into broad plates (see <a href=""http://macroinvertebrates.org/taxa-characters/coleoptera-adult/haliplidae/peltodytes/ventral/dc954"">Halipidae</a> for example of broad plates). ",0,0
dc_to_family,989,115,diag_char_family,Large Spurs Absent,Without large spur on end of each front tibia (shin). ,0,0
dc_to_family,991,115,diag_char_family,Scutellum Usually Visible,"Scutellum (triangular sclerite between the elytra) usually visible, if hidden, then front and middle tarsi apparently 4-segmented and hind tarsi each with 1 claw.",0,0
dc_to_family,993,119,diag_char_family,5-Segmented Tarsi,Each leg with 5 tarsal segments.,0,0
dc_to_family,995,119,diag_char_family,Big Claws,Big Claws,0,0
dc_to_family,994,119,diag_char_family,Last Tarsal Segment Subequal,Last tarsal segment about as long as other segments ,0,0
dc_to_family,992,119,diag_char_family,Thread-like Antennae,"Antennae slender, thread-like",0,0
dc_to_family,953,135,diag_char_family,4 Eyes," Compound eyes divided into separate dorsal and ventral portions ( ""4-eyed"" appearance).",0,0
dc_to_family,954,140,diag_char_family,Expanded Hind Coxae,"Each hind coxa (first segment of the last leg) expanded into a broad, flat, plate, ventrally covering the first 2 or 3 abdominal segments and most of hind femora.",0,0
dc_to_family,1000,143,diag_char_family,5 Segments Before Cupule,"Antenna ually with 5 segments before cupule (cup-shaped, hairless, segment 6)",0,0
dc_to_family,997,143,diag_char_family,Antenna Subequal To Head,Antennae about as long head,0,0
dc_to_family,998,143,diag_char_family,Antennal Segment Articulation,2nd antennal segment attached at apex of 1st (basal-most) segment ,0,0
dc_to_family,999,143,diag_char_family,Clubbed Antennae,Antennal segments 7–9 clubbed.,0,0
dc_to_family,996,143,diag_char_family,Long Maxillary Palpi,Maxillary palpi usually longer than antennae. ,0,0
dc_to_family,1842,156,diag_char_family,Base of Mandibles with Bristles,Pair of brushes of bristles above bases of mandibles.,0,0
dc_to_family,1803,156,diag_char_family,Mandibles Moving Vertically,Mandibles moving vertically and parallel to one another.,0,0
dc_to_family,1865,156,diag_char_family,Pair of Long Tubercles Fringed with Hair,Last abdominal segment with pair of long tubercles fringed with hair.,0,0
dc_to_family,2201,156,diag_char_family,Prolegs Present Ventrally from segments 1-8,A pair of prolegs present on abdominal segments 1-8,0,0
dc_to_family,1864,156,diag_char_family,Slender Tubercles on 2-7,"Abdominal segments 2–7 each with two pairs of slender tubercles laterally and dorsally, 1 pair of spiny prolegs ventrally.",0,0
dc_to_family,1853,158,diag_char_family,Head Capsule Complete but Not Distinct,Head capsule complete but not distinctly separated from thorax.,0,0
dc_to_family,1802,158,diag_char_family,Mandibles Moving Horizontally,Mandibles moving horizontally against each other.,0,0
dc_to_family,1854,158,diag_char_family,Suction Cup on Each Body Division,"Body divided into 6 major divisions, each with single suction cup ventrally.",0,0
dc_to_family,1125,160,diag_char_family,Head Complete and Exposed,Head complete and fully exposed. The head is not drawn into the thorax.,0,0
dc_to_family,1126,160,diag_char_family,With Or Without Prolegs,"Prolegs (fleshy nubs) can be present or absent on the prothorax (1st thoracic segment). Like in the specimen imaged here (<em>Probezzia</em>), if prolegs are absent the body is usually smooth, shiny, and cream colored, usually without any surface features except a few hairs especially posteriorly, and sometimes a single retractile anal proleg bearing a few hooks. Alternatively, if there is a pair of ventral prolegs on the prothorax, then the prothoracic and anal prolegs are usually paired (even if divison slight and only at apex) and there are distinct dorsal fleshy projections and/or setae along body.",0,0
dc_to_family,1125,162,diag_char_family,Head Complete and Exposed,Head complete and fully exposed. The head is not drawn into the thorax.,0,0
dc_to_family,1127,162,diag_char_family,Thoracic And Anal Prolegs,"Paired hook-bearing prolegs (fleshy nubs used for movement) are present on the prothorax and at the posterior end of the body. At first glance these may appear as a single proleg, but they are paired, the division may be slight and only at the apex of the proleg.",0,0
dc_to_family,1868,168,diag_char_family,Fused Thoracic Segments,"Thoracic segments fused, nearly indistinguishable, wider than head and abdomen.",0,0
dc_to_family,1795,168,diag_char_family,Head Capsule Complete and Exposed,"Head capsule complete, fully exposed.",0,0
dc_to_family,1802,168,diag_char_family,Mandibles Moving Horizontally,Mandibles moving horizontally against each other.,0,0
dc_to_family,1823,168,diag_char_family,Slender Antennae with Short Setae,Antennae slender with short setae.,0,0
dc_to_family,1872,170,diag_char_family,Distinct Thoracic Segments,"Thoracic segments clearly evident, no wider than abdomen.",0,0
dc_to_family,1829,170,diag_char_family,Flat Lobes Fringed with Hair on Last Segment,Last abdominal segment with pair of flat lobes fringed with hair.,0,0
dc_to_family,1795,170,diag_char_family,Head Capsule Complete and Exposed,"Head capsule complete, fully exposed.",0,0
dc_to_family,1826,170,diag_char_family,Hook-bearing Prolegs on 1-2,First and (usually) second abdominal segments each with pair of hook-bearing prolegs.,0,0
dc_to_family,1802,170,diag_char_family,Mandibles Moving Horizontally,Mandibles moving horizontally against each other.,0,0
dc_to_family,1866,172,diag_char_family,1-4 Rounded Lobes on End of Abdomen,End of abdomen with 1–4 rounded lobes with apical setae.,0,0
dc_to_family,1825,172,diag_char_family,All Abdominal Segments with Hook-bearing Prolegs,Abdominal segments each bearing pair of prolegs with apical hooks.,0,0
dc_to_family,1806,172,diag_char_family,Head Capsule Not Sclerotized and Exposed,"Head capsule exposed, mostly not sclerotized, reduced to slender rods that are prominent internally.",0,0
dc_to_family,1797,172,diag_char_family,Mouth Hooks Moving Vertically,Mouth hooks moving vertically and parallel with each other.,0,0
dc_to_family,1875,172,diag_char_family,Spiracles Absent,Spiracles usually absent.,0,0
dc_to_family,1825,174,diag_char_family,All Abdominal Segments with Hook-bearing Prolegs,Abdominal segments each bearing pair of prolegs with apical hooks.,0,0
dc_to_family,1128,174,diag_char_family,Head Retracted in Thorax,"The hardened head capsule is not visible from the outside, it is always deeply retracted inside thorax, and can only be viewed with dissection. ",0,0
dc_to_family,2205,174,diag_char_family,Respiratory Tube,,0,0
dc_to_family,1128,175,diag_char_family,Head Retracted in Thorax,"The hardened head capsule is not visible from the outside, it is always deeply retracted inside thorax, and can only be viewed with dissection. ",0,0
dc_to_family,1129,175,diag_char_family,Posterior Spiracles with Lobes,The posterior spiracles are rimmed by 2–7 (usually 5) lobes often fringed with hair.,0,0
dc_to_family,1796,178,diag_char_family,Head Not Externally Sclerotized,Head capsule not sclerotized externally.,0,0
dc_to_family,1852,178,diag_char_family,"Last Segment Blunt, Smooth","Last abdominal segment blunt, smooth.",0,0
dc_to_family,1797,178,diag_char_family,Mouth Hooks Moving Vertically,Mouth hooks moving vertically and parallel with each other.,0,0
dc_to_family,1838,178,diag_char_family,Posterior Spiracles each with 3 Slits,Pair of posterior spiracles each with 3 sinuous slits.,0,0
dc_to_family,1805,180,diag_char_family,Head Capsule Sclerotized and Mostly Retracted,Head capsule sclerotized and mostly retracted in membranous body.,0,0
dc_to_family,1873,180,diag_char_family,Long Ventral Lobes on Abdominal Apex,End of abdomen with pair of spiracles and pair of long ventral lobes.,0,0
dc_to_family,1802,180,diag_char_family,Mandibles Moving Horizontally,Mandibles moving horizontally against each other.,0,0
dc_to_family,1863,182,diag_char_family,Body Segments Subdivided,All body segments secondarily divided into 2–3 subdivisions most of which bear dorsal sclerotized plates.,0,0
dc_to_family,1872,182,diag_char_family,Distinct Thoracic Segments,"Thoracic segments clearly evident, no wider than abdomen.",0,0
dc_to_family,1795,182,diag_char_family,Head Capsule Complete and Exposed,"Head capsule complete, fully exposed.",0,0
dc_to_family,1802,182,diag_char_family,Mandibles Moving Horizontally,Mandibles moving horizontally against each other.,0,0
dc_to_family,1795,184,diag_char_family,Head Capsule Complete and Exposed,"Head capsule complete, fully exposed.",0,0
dc_to_family,1871,184,diag_char_family,Hooked Prolegs on 1-3,"First 3 abdominal segments each with ventral pair of prolegs, each with single apical hook.",0,0
dc_to_family,1808,184,diag_char_family,Long Respiratory Siphon,End of abdomen with long retractile respiratory siphon.,0,0
dc_to_family,1802,184,diag_char_family,Mandibles Moving Horizontally,Mandibles moving horizontally against each other.,0,0
dc_to_family,1131,186,diag_char_family,Abdomen Swollen Posteriorly,"Abdominal segments 5–8 are swollen, appearing ballooned or bowling-pin-like. Often these balooned posterior ends are attached to the substrate. ",0,0
dc_to_family,1125,186,diag_char_family,Head Complete and Exposed,Head complete and fully exposed. The head is not drawn into the thorax.,0,0
dc_to_family,1130,186,diag_char_family,Labral Fans,Head capsule usually with pair of conspicuous fans.,0,0
dc_to_family,1822,189,diag_char_family,Body Flattened,Body somewhat depressed.,0,0
dc_to_family,1800,189,diag_char_family,Head Capsule Sclerotized and Mostly Exposed,"Head capsule sclerotized and mostly exposed, incapable of independent movement.",0,0
dc_to_family,1809,189,diag_char_family,Leathery Integument,"Integument tough, leathery, with calcium deposits evident as small facets.",0,0
dc_to_family,1803,189,diag_char_family,Mandibles Moving Vertically,Mandibles moving vertically and parallel to one another.,0,0
dc_to_family,1796,191,diag_char_family,Head Not Externally Sclerotized,Head capsule not sclerotized externally.,0,0
dc_to_family,1797,191,diag_char_family,Mouth Hooks Moving Vertically,Mouth hooks moving vertically and parallel with each other.,0,0
dc_to_family,1870,191,diag_char_family,Posterior Spiracles Fused,"Posterior spiracles fused or abutting, usually on apex of retractile respiratory tube.",0,0
dc_to_family,1801,193,diag_char_family,Head Capsule Sclerotized and Mostly Retracted,"Head capsule sclerotized and mostly retracted in membranous body, usually with longitudinal incisions posteriorly or reduced to long rods.",0,0
dc_to_family,1869,193,diag_char_family,Lobed Posterior Spiracles with Hair,Posterior pair of spiracles bordered by at least 6 lobes fringed with hair.,0,0
dc_to_family,1802,193,diag_char_family,Mandibles Moving Horizontally,Mandibles moving horizontally against each other.,0,0
dc_to_family,1011,195,diag_char_family,Notched Upper Lip,The labrum (upper lip) usually has a median notch. The labrum or upper-lip is a flap-like structure covering the mouthparts. You are looking for an indentation or dip along the far edge.,0,0
dc_to_family,1035,195,diag_char_family,Pectinate Spines On Maxillae, Maxillae (second pair of jaws) each with row of conspicuous pectinate (comb-like) spines. ,0,0
dc_to_family,1810,195,diag_char_family,Short Antennae,"Antennae short, less than twice width of head.  Refer to <a href=""http://macroinvertebrates.org/taxa-characters/ephemeroptera-larva/baetidae"">Baetidae</a> for longer than head antenna. ",0,0
dc_to_family,1012,197,diag_char_family,Long Antenna,"The antennae are usually long, two or three times or more width of the head",0,0
dc_to_family,1011,197,diag_char_family,Notched Upper Lip,The labrum (upper lip) usually has a median notch. The labrum or upper-lip is a flap-like structure covering the mouthparts. You are looking for an indentation or dip along the far edge.,0,0
dc_to_family,1819,202,diag_char_family,Shield-like Pronotum,Pronotum forming large shield over rest of thorax and 5 basal segments of abdomen.,0,0
dc_to_family,1132,204,diag_char_family,Square Semioperculate Gills,"Paired gills on abdominal segment 2 are nearly square, and meeting or almost meeting medially (but NOT fused). These gills on segment 2 are at least partially covering the succeeding pairs (semioperculate).",0,0
dc_to_family,1133,206,diag_char_family,Segment 2 Without Gills,This is the only mayfly family with gills absent on abdominal segment 2.,0,0
dc_to_family,1016,212,diag_char_family,Fluffy Abdominal Gills," Abdominal gills on segments 2–7 are conspicuous dorsaly, forked and elongate-lancolate, with fringed margins, giving the animal a fluffy appearance.",0,0
dc_to_family,1014,212,diag_char_family,Fossorial Foretibiae ,"The Foretibiae (the shins of the first pair of legs), are expanded/enlarged, and used for burrowing in sediment.",0,0
dc_to_family,1013,212,diag_char_family,Large Tusks,Large Tusks for are located anterioly on the head. ,0,0
dc_to_family,1015,212,diag_char_family,Pointed Hind Tibiae,Ventral apex of each hind tibia acutely pointed (i.e. the shins of the last pair of legs each have a point at the end).,0,0
dc_to_family,480,215,diag_char_family,Flat Head And Body,Head and body dorsoventrally flattened (flattend from top to bottom). ,0,0
dc_to_family,481,215,diag_char_family,Margin Around Eyes,Lateral margins of head visible beside the eyes.,0,0
dc_to_family,1017,222,diag_char_family,Operculate Gill On 2,The gills on abdominal segment 2 are operculate or semioperculate. (i.e. the gills on this segment at least partially cover the gills on the preceeding segment). The gills are and roughly triangular or oval.,0,0
dc_to_family,1134,224,diag_char_family,Double Lamellate Gills,"The gills on abdominal segments 2–7 are double-layered and lamellate (plate-like). The gills can be terminated in filaments or points and without fringe, or oval with fringe.",0,0
dc_to_family,1798,228,diag_char_family,Foreleg Claws Bifid,Claw on each foreleg bifid.,0,0
dc_to_family,1799,228,diag_char_family,Gills on 1-7 Plate-like,Pair of plate-like gills present on abdominal segments 1–7.,0,0
dc_to_family,1850,230,diag_char_family,"Gills on 2-7 Forked, Long, Curving over Abdomen","Gills on abdominal segments 2–7 forked, long, tapered, fringed with hair, curving over top of abdomen.",0,0
dc_to_family,1793,230,diag_char_family,Legs Flattened or Tuberculate,Legs flattened or tuberculate.,0,0
dc_to_family,1792,230,diag_char_family,Long Tusks Straight or Downcurved,Mandibles each with long tusk straight or downcurved.,0,0
dc_to_family,1824,230,diag_char_family,​Hind Tibiae Rounded Apically,Hind tibiae rounded apically.,0,0
dc_to_family,1855,232,diag_char_family,"Gills on 2-7 Forked, Long, Projecting Laterad","Gills on abdominal segments 2–7 forked, long, tapered, fringed with hair, projecting laterad.",0,0
dc_to_family,1794,232,diag_char_family,Legs Slender,Legs slender.,0,0
dc_to_family,1791,232,diag_char_family,Long Tusks,Mandibles each with long tusk.,0,0
dc_to_family,1811,234,diag_char_family,"3 ""Tails"" Subequal",Median caudal filament as long as cerci.,0,0
dc_to_family,1814,234,diag_char_family,Distal Margin of Labrum Straight,"Distal margin of labrum straight, not notched.",0,0
dc_to_family,1799,234,diag_char_family,Gills on 1-7 Plate-like,Pair of plate-like gills present on abdominal segments 1–7.,0,0
dc_to_family,1810,234,diag_char_family,Short Antennae,"Antennae short, less than twice width of head.  Refer to <a href=""http://macroinvertebrates.org/taxa-characters/ephemeroptera-larva/baetidae"">Baetidae</a> for longer than head antenna. ",0,0
dc_to_family,1789,236,diag_char_family,Antennae Shorter than Head,"Antennae shorter than head, not visible from above.",0,0
dc_to_family,1862,236,diag_char_family,Flat Air Straps on Abdominal Apex,"Apex of abdomen with pair of short, flat, retractile air straps.",0,0
dc_to_family,1789,238,diag_char_family,Antennae Shorter than Head,"Antennae shorter than head, not visible from above.",0,0
dc_to_family,1861,238,diag_char_family,Scoop-like Front Tarsi,"Each front tarsus a single segment, scoop-like, fringed with stiff setae.",0,0
dc_to_family,1813,238,diag_char_family,"Short, Triangular Beak","Beak triangular, very short, unsegmented.",0,0
dc_to_family,1136,240,diag_char_family,Anteapical Claws,At least front tarsus (last leg segment) with anteapical claws. These are claws that protrude from leg before the apex.,0,0
dc_to_family,1790,240,diag_char_family,Antennae Longer than Head,"Antennae longer than head, visible from above.",0,0
dc_to_family,1820,240,diag_char_family,Hind Femora Longer than Abdomen,Hind femora much longer than abdomen.,0,0
dc_to_family,1843,240,diag_char_family,Middle Legs Closer to Hind Legs,Middle legs arising closer to hind legs than to front legs.,0,0
dc_to_family,473,242,diag_char_family,Eyes Contiguous With Head,Similar in appearence to Belostomatidae (giant water bugs) except that margins of eyes are contiguous with anterior margin of head in Naucoridae; i.e. the eyes are right against the edge of the head.,0,0
dc_to_family,474,242,diag_char_family,Raptorial Legs,"Forelegs are raptorial, suitable for use in predation, with broad femora, and weakly convex dorsally.",0,0
dc_to_family,1789,244,diag_char_family,Antennae Shorter than Head,"Antennae shorter than head, not visible from above.",0,0
dc_to_family,1860,244,diag_char_family,Long Breathing Tube on Abdominal Apex,Apex of abdomen with long cylindrical breathing tube that is not retractile.,0,0
dc_to_family,1789,246,diag_char_family,Antennae Shorter than Head,"Antennae shorter than head, not visible from above.",0,0
dc_to_family,1844,246,diag_char_family,Body Convex Dorsally,Body strongly convex dorsally.,0,0
dc_to_family,1837,246,diag_char_family,"Long, Oar-like Hind Legs","Hind legs longer than others, oar-like, its claws inconspicuous.",0,0
dc_to_family,1821,246,diag_char_family,Swimming Hairs on Legs,Middle and hind legs with fringes of swimming hairs.,0,0
dc_to_family,1136,248,diag_char_family,Anteapical Claws,At least front tarsus (last leg segment) with anteapical claws. These are claws that protrude from leg before the apex.,0,0
dc_to_family,1135,248,diag_char_family,Antennae Longer Than Head,"The antennae are longer than the head. They are positioned anterior to the eyes, clearly visible from the dorsal side.",0,0
dc_to_family,1137,248,diag_char_family,Hind Femora Short,"The hind femora are shorter than the abdomen, or just barely longer.",0,0
dc_to_family,1839,251,diag_char_family,2 Setae in Front of Each Lateral Spiracle,Prothorax with 2 setae in front of each lateral spiracle.,0,0
dc_to_family,1859,251,diag_char_family,Prolegs on 3-6 with Crochets,"Prolegs of abdominal sterna 3–6 with crochets (tiny hooks) arranged in an ellipse, or two transverse lines.",0,0
dc_to_family,1835,253,diag_char_family,5 Short Appendages on End of Abdomen,"End of abdomen with 5 short, stiff, pointed appendages.",0,0
dc_to_family,1845,253,diag_char_family,No Dorsal Premental Setae,Labial prementum without dorsal setae.,0,0
dc_to_family,1846,253,diag_char_family,No Palpal Setae,Labial palps parallel-sided and usually without setae.,0,0
dc_to_family,1849,253,diag_char_family,Prementum and Palps Flat,Labial prementum and palps flat beneath head.,0,0
dc_to_family,1812,253,diag_char_family,"Slender, Bristle-like Antennae","Antennae slender, bristle-like.",0,0
dc_to_family,1018,255,diag_char_family,1st Antennal Segment Long,"First antennal segment (segment nearest the head) long, subequal to length of rest of antenna.",0,0
dc_to_family,1836,255,diag_char_family,3 Tracheal Gills,"End of abdomen with 3 long, tracheal gills.",0,0
dc_to_family,1836,257,diag_char_family,3 Tracheal Gills,"End of abdomen with 3 long, tracheal gills.",0,0
dc_to_family,1537,257,diag_char_family,Antennal Segment 1 Short,Antennal segment 1 much shorter than the rest of the antenna.,0,0
dc_to_family,1538,257,diag_char_family,Mask without Cleft,Ligula (distal part of palm of mask) usually without median cleft. The mask is roughly triangular or square (not stalked as in Lestidae).,0,0
dc_to_family,1835,261,diag_char_family,5 Short Appendages on End of Abdomen,"End of abdomen with 5 short, stiff, pointed appendages.",0,0
dc_to_family,1540,261,diag_char_family,Dorsal Premental Setae,"Dorsal premental setae present. These are hairs located inside the mask, on the palm. If the mask is closed you will have to use forceps to gently open it.",0,0
dc_to_family,1847,261,diag_char_family,Margins of Labial Palps Toothed,"Labial palps with distal margins deeply incised into large, irregular teeth.",0,0
dc_to_family,1541,261,diag_char_family,Palpal Setae,Palpal Setae are present. These are hair along the margins of the palpal lobes (at end of mask).,0,0
dc_to_family,1804,261,diag_char_family,Prementum and Palps Spoon-like,Labial prementum and palps spoon-like.,0,0
dc_to_family,1835,263,diag_char_family,5 Short Appendages on End of Abdomen,"End of abdomen with 5 short, stiff, pointed appendages.",0,0
dc_to_family,1540,263,diag_char_family,Dorsal Premental Setae,"Dorsal premental setae present. These are hairs located inside the mask, on the palm. If the mask is closed you will have to use forceps to gently open it.",0,0
dc_to_family,1542,263,diag_char_family,Median Groove,"Ventrally, there is a median groove extending from the basal hinge of the mask to about 1/3 to 1/2 way to the distal margin of mask. It is often faint.",0,0
dc_to_family,1541,263,diag_char_family,Palpal Setae,Palpal Setae are present. These are hair along the margins of the palpal lobes (at end of mask).,0,0
dc_to_family,1539,263,diag_char_family,Spoon-shaped Mask,Labial mask spoon-shaped. This is a arm-like extremity that covers the mouth parts and is used for capturing prey.,0,0
dc_to_family,1544,265,diag_char_family,4-Segmented Antennae,"The antennae are each 4-segmented, although the 4th segment is often small.",0,0
dc_to_family,1543,265,diag_char_family,Flat Mask,Labial mask flattened. This is a arm-like extremity that covers the mouth parts and is used for capturing prey.,0,0
dc_to_family,1836,268,diag_char_family,3 Tracheal Gills,"End of abdomen with 3 long, tracheal gills.",0,0
dc_to_family,1848,268,diag_char_family,Base of Prementum Long and Slender,"Base of labial prementum long, slender.",0,0
dc_to_family,1835,270,diag_char_family,5 Short Appendages on End of Abdomen,"End of abdomen with 5 short, stiff, pointed appendages.",0,0
dc_to_family,1545,270,diag_char_family,Median Groove Absent,"Unlike in Corduliidae, the prementum (basal hinge of the mask) is usually without a ventral basal medial groove.",0,0
dc_to_family,1539,270,diag_char_family,Spoon-shaped Mask,Labial mask spoon-shaped. This is a arm-like extremity that covers the mouth parts and is used for capturing prey.,0,0
dc_to_family,1026,277,diag_char_family,Gills Absent,Filamentous gills absent from thoracic and abdominal segments.,0,0
dc_to_family,1020,277,diag_char_family,Hind Legs Don't Reach,"When extended, hind legs do not reach end of the abdomen.",0,0
dc_to_family,2225,277,diag_char_family,Membranous Pleural Fold,"This is found on the side of the abdomen.  In <a href=""http://macroinvertebrates.org/taxa-characters/plecoptera-larva/leuctridae/leuctra/ventral/dc2225"">Leuctridae</a>, it is no more than 1-7 segments long and in <a href=""http://macroinvertebrates.org/taxa-characters/plecoptera-larva/capniidae/allocapnia/lateral"">Capniidae</a>, the fold is 1-9 segments long. ",0,0
dc_to_family,1021,277,diag_char_family,Paraglossae And Glossae Subequal,"Paraglossae and glossae about same length, suitable for shredding.",0,0
dc_to_family,1758,277,diag_char_family,Small Postmentum,"Postmentum small, not covering bases of maxillae.",0,0
dc_to_family,1026,279,diag_char_family,Gills Absent,Filamentous gills absent from thoracic and abdominal segments.,0,0
dc_to_family,1024,279,diag_char_family,Glossae Shorter Than Paraglossae,Glossae much shorter than the paraglossae. ,0,0
dc_to_family,1023,279,diag_char_family,Hind Legs Reach,"When extended, hind legs reach about to the end of the abdomen.",0,0
dc_to_family,1765,279,diag_char_family,Short Cerci,Cerci no more than 3/4 as long as abdomen.,0,0
dc_to_family,1763,279,diag_char_family,Thoracic Terga Plain,"Thoracic terga (segments) without a dark pattern, setting this family apart from the often more patterned stonefly nymphs in the families Perlidae and Perlodidae.",0,0
dc_to_family,1020,281,diag_char_family,Hind Legs Don't Reach,"When extended, hind legs do not reach end of the abdomen.",0,0
dc_to_family,1122,281,diag_char_family,Large Postmentum," Postmentum large, covering bases of maxillae",0,0
dc_to_family,2225,281,diag_char_family,Membranous Pleural Fold,"This is found on the side of the abdomen.  In <a href=""http://macroinvertebrates.org/taxa-characters/plecoptera-larva/leuctridae/leuctra/ventral/dc2225"">Leuctridae</a>, it is no more than 1-7 segments long and in <a href=""http://macroinvertebrates.org/taxa-characters/plecoptera-larva/capniidae/allocapnia/lateral"">Capniidae</a>, the fold is 1-9 segments long. ",0,0
dc_to_family,1019,281,diag_char_family,Parallel Hind Wing Pads,"Hind wing pads more or less parallel with body axis, and typically longer than wide.",0,0
